序号	页数	商品ID	一口价	促销价	付款数/收货数	下架时间	商品网址	商品标题	首图地址	卖家旺旺	店铺地址
11	1	543308366151	2800.00	2800.00	2	2017/3/10 09:44:19	http://item.taobao.com/item.htm?id=543308366151	德国阳光蓄电池A412/120A 阳光12V120AH 全国包邮 正品保障	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/3031456231/TB2.3x8grBmpuFjSZFAXXaQ0pXa_!!3031456231.jpg	蓄电池代宁	
12	1	536186689042	800.00	800.00	1	2017/3/9 17:50:48	http://item.taobao.com/item.htm?id=536186689042	德国（Sonnenschein）阳光蓄电池A512/16G5 12v16ah电瓶 正品包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/1589681958/TB2Aa1VtpXXXXcAXpXXXXXXXXXX_!!1589681958.jpg	liyanwei3936	
13	1	542569758383	530.00	530.00	2	2017/3/8 13:37:40	http://item.taobao.com/item.htm?id=542569758383	德国阳光蓄电池A4 12/20G5 蓄电池12V 20AH 阳光蓄电池货到付款	http://g.search.alicdn.com/img/bao/uploaded/i4/i4/TB1B5SWLVXXXXbaXXXXXXXXXXXX_!!2-item_pic.png	demeitexin	
14	1	524783894293	1500.00	1500.00	1	2017/3/6 08:18:02	http://item.taobao.com/item.htm?id=524783894293	德国阳光12V65AH A412/65A埃克塞德蓄电池原装提供报关单和检告	http://g.search.alicdn.com/img/bao/uploaded/i4/i4/TB1UYOMJVXXXXbFXVXXXXXXXXXX_!!0-item_pic.jpg	曹先涛	
15	1	542546311527	700.00	700.00	2	2017/3/7 18:46:22	http://item.taobao.com/item.htm?id=542546311527	原装进口德国阳光蓄电池Sonnenschein A512/40A 12V40AH A512系列	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/TB1UnacNXXXXXXaapXXXXXXXXXX_!!0-item_pic.jpg	代小丑i	
16	1	536304922957	730.00	730.00	2	2017/3/9 16:49:39	http://item.taobao.com/item.htm?id=536304922957	德国阳光蓄电池 A412/32G6阳光蓄电池12V32AH 胶体蓄电池正品包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2532069286/TB2MXXBdU5O.eBjSZFxXXaaJFXa_!!2532069286.png	晨晨为您服务	
17	1	45562675142	1100.00	1100.00	2	2017/3/9 09:45:38	http://item.taobao.com/item.htm?id=45562675142	德国阳光蓄电池A412/65 G6 阳光12V65AH 胶体免维护阀控式蓄电池	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2532069286/TB2YCuBb4Rzc1FjSZFPXXcGAFXa_!!2532069286.png	晨晨为您服务	
18	1	524443762881	799.00	799.00	1	2017/3/6 10:00:52	http://item.taobao.com/item.htm?id=524443762881	原装进口德国阳光蓄电池Sonnenschein A512/40A 12V40AH A512系列	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/TB10mV4KFXXXXcKXXXXXXXXXXXX_!!0-item_pic.jpg	森雷特新能源科技	
19	1	42898202378	655.00	655.00	1	2017/3/8 13:22:15	http://item.taobao.com/item.htm?id=42898202378	德国阳光蓄电池A512/30 G6阳光蓄电池热销中1230阳光电池12v30A	http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/TB1uqjxGVXXXXc5XVXXXXXXXXXX_!!0-item_pic.jpg	mqh4782	
20	1	44879824967	1420.00	1420.00	1	2017/3/4 15:34:20	http://item.taobao.com/item.htm?id=44879824967	德国阳光12V100AH胶体电池 阳光A412/100A免维护UPS蓄电池启动型	http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/TB1jpNoHFXXXXbDXVXXXXXXXXXX_!!0-item_pic.jpg	subenzhao4	
21	2	541946151677	2380.00	2380.00	1	2017/3/7 21:21:43	http://item.taobao.com/item.htm?id=541946151677	德国工业集团阳光蓄电池A412/180A/12V180AH/UPS/EPS/直流屏用	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/TB1RhvEGVXXXXbuXpXXXXXXXXXX_!!0-item_pic.jpg	蓄电池ups销售1	
22	2	535544837060	1600.00	1600.00	2	2017/3/6 11:18:10	http://item.taobao.com/item.htm?id=535544837060	德国阳光蓄电池A412/100A阳光蓄电池12V100AH原装进口胶体保三年	http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2823525024/TB2NnysdHaI.eBjy1XdXXcoqXXa_!!2823525024.png	振兴华强科技	
23	2	537308649775	800.00	800.00	2	2017/3/9 10:01:36	http://item.taobao.com/item.htm?id=537308649775	德国阳光蓄电池 A412/65 G6 12V65AH 原装进口 胶体 保三年 包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2823525024/TB2pga0dM1J.eBjy0FpXXaMoXXa_!!2823525024.png	振兴华强科技	
24	2	545136130029	1650.00	1650.00	0	2017/3/8 15:24:41	http://item.taobao.com/item.htm?id=545136130029	德国阳光蓄电池 A412/100A 12V100AH 原装进口 胶体 保三年 包邮	http://g.search1.alicdn.com/img/bao/uploaded/i4/i1/3160703858/TB28VATe4tmpuFjSZFqXXbHFpXa_!!3160703858.jpg	ups电源蓄电池北京	
25	2	532601659843	1600.00	1600.00	2	2017/3/3 17:27:09	http://item.taobao.com/item.htm?id=532601659843	德国阳光蓄电池A412/100A阳光蓄电池12V100AH原装进口胶体保三年	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/2883491303/TB2QnIYppXXXXcMXpXXXXXXXXXX_!!2883491303.jpg	诚信小铺欢迎您的到来	
26	2	545523661758	500.00	500.00	1	2017/3/8 17:26:56	http://item.taobao.com/item.htm?id=545523661758	原装正品 德国阳光蓄电池A512/17A纯胶体12V17AH 现货供应 包邮	http://g.search.alicdn.com/img/bao/uploaded/i4/i3/3156867250/TB237ose90jpuFjy0FlXXc0bpXa_!!3156867250.gif	ups电源蓄电池666666	
27	2	537614346832	520.00	520.00	1	2017/3/9 12:51:40	http://item.taobao.com/item.htm?id=537614346832	德国阳光蓄电池12V20AH 阳光A412/20G5蓄电池胶体蓄电池正品包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/926316971/TB2bWffaR6xQeBjSszgXXXGPFXa_!!926316971.jpg	wz2777	
28	2	542564153705	500.00	500.00	1	2017/3/8 14:40:41	http://item.taobao.com/item.htm?id=542564153705	德国阳光蓄电池 A412/20G5 12V20AH 原装进口 胶体电池 三年 包邮	http://g.search1.alicdn.com/img/bao/uploaded/i4/i4/2883491303/TB2HI_FffSM.eBjSZFNXXbgYpXa_!!2883491303.jpg	诚信小铺欢迎您的到来	
29	2	543750490754	1240.00	1240.00	1	2017/3/8 17:57:52	http://item.taobao.com/item.htm?id=543750490754	德国阳光蓄电池 A412/100A 12V100AH 原装进口 胶体 保三年 包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2812378042/TB2mtgYbg0kpuFjSspdXXX4YXXa_!!2812378042.jpg	ups电源金牌销售	
30	2	541366204662	2850.00	2850.00	1	2017/3/8 09:08:28	http://item.taobao.com/item.htm?id=541366204662	纯进口品牌德国阳光蓄电池A412/100A进口电池12v100ah现货直销	http://g.search.alicdn.com/img/bao/uploaded/i4/i1/2919600246/TB2B0V_cxqK.eBjSZJiXXaOSFXa_!!2919600246.jpg	ups电池销售中心	
31	2	541123611531	1260.00	1260.00	1	2017/3/8 14:19:54	http://item.taobao.com/item.htm?id=541123611531	进口德国阳光蓄电池12V65AH A412/65A埃克塞德蓄电池原装全国包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/TB1l776NXXXXXasXFXXXXXXXXXX_!!0-item_pic.jpg	迎面吹微风	
32	2	542172233051	1080.00	1080.00	1	2017/3/9 20:15:00	http://item.taobao.com/item.htm?id=542172233051	德国阳光蓄电池A412/50G6德国阳光12V50AH工业蓄电池专卖保证正品	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/3041985329/TB2ZRcbcEhnpuFjSZFEXXX0PFXa_!!3041985329.jpg	工业电源厂家直销	
33	2	545153375836	1205.00	1205.00	0	2017/3/8 15:08:49	http://item.taobao.com/item.htm?id=545153375836	德国阳光蓄电池A412/65 G6 阳光12V65AH 胶体免维护阀控式蓄电池	http://g.search.alicdn.com/img/bao/uploaded/i4/i4/3160703858/TB269M4e.lnpuFjSZFjXXXTaVXa_!!3160703858.jpg	ups电源蓄电池北京	
34	2	524013453588	268.00	268.00	1	2017/3/3 15:17:16	http://item.taobao.com/item.htm?id=524013453588	12V德国阳光蓄电池A512/3.5S 12V3.5AH电池 正品促销 欢迎选购	http://g.search.alicdn.com/img/bao/uploaded/i4/i3/TB1Rsh4KFXXXXXGXFXXXXXXXXXX_!!0-item_pic.jpg	北京可耐阳光科技公司	
35	2	543129373992	2200.00	2200.00	1	2017/3/5 20:38:13	http://item.taobao.com/item.htm?id=543129373992	德国阳光胶体蓄电池A412/100A 12V100AH UPS电源 太阳能电瓶 正品	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/TB199FyMFXXXXbmXpXXXXXXXXXX_!!0-item_pic.jpg	chpxfpa	
36	2	545599475188	2970.00	2970.00	1	2017/3/9 15:54:18	http://item.taobao.com/item.htm?id=545599475188	德国阳光蓄电池A412/100AUPS 胶体蓄电池 12V100AH胶体 质保三年	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/3167637524/TB2fhfbgblmpuFjSZFlXXbdQXXa_!!3167637524.jpg	华锐飞翔123	
37	2	545599515003	1960.20	1960.20	1	2017/3/9 15:54:18	http://item.taobao.com/item.htm?id=545599515003	德国(Sonnenschein)阳光蓄电池 A512/65A 胶体蓄电池12V65AH进口	http://g.search1.alicdn.com/img/bao/uploaded/i4/i4/3167637524/TB2uAfmgbBmpuFjSZFAXXaQ0pXa_!!3167637524.jpg	华锐飞翔123	
38	2	536533207985	1700.00	1700.00	1	2017/3/7 10:09:44	http://item.taobao.com/item.htm?id=536533207985	德国阳光蓄电池 A412/32G6 12V32AH胶体蓄电池 德国进口 正品特价	http://g.search.alicdn.com/img/bao/uploaded/i4/i4/T1ueNYFk0bXXXXXXXX_!!0-item_pic.jpg	璐灬璐99	
39	2	524607763498	1100.00	1100.00	1	2017/3/8 17:45:09	http://item.taobao.com/item.htm?id=524607763498	德国阳光蓄电池进口A412/65 A（12v65ah）蓄电池现货供应独家销售	http://g.search.alicdn.com/img/bao/uploaded/i4/i3/TB1KpQbIVXXXXayaXXXXXXXXXXX_!!0-item_pic.jpg	伟伟欢迎您的到来	
40	2	540064047424	510.00	510.00	1	2017/3/3 14:45:51	http://item.taobao.com/item.htm?id=540064047424	德国阳光蓄电池A412/20 G5 12V20AH 免维护胶体蓄电池 现货	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2133364198/TB2UgOTXA1M.eBjSZFOXXc0rFXa_!!2133364198.jpg	崔节磊123	
41	3	44103318669	1700.00	1700.00	1	2017/3/3 18:15:07	http://item.taobao.com/item.htm?id=44103318669	德国阳光蓄电池A412/100A阳光蓄电池12V100AH原装进口胶体保三年	http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/TB1SN6KHVXXXXapXXXXXXXXXXXX_!!0-item_pic.jpg	代小丑i	
42	3	533259398658	645.00	645.00	1	2017/3/7 12:24:40	http://item.taobao.com/item.htm?id=533259398658	德国阳光蓄电池A412/20G5sonnenshine12V20AH胶体蓄电池	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/2636122667/TB2Yp6AqXXXXXXeXFXXXXXXXXXX_!!2636122667.jpg	杭州卓智电源科技有限公司	
43	3	545570038397	1700.00	1700.00	1	2017/3/9 08:43:40	http://item.taobao.com/item.htm?id=545570038397	德国阳光12V100AH胶体电池 阳光A412/100A免维护UPS蓄电池启动型	http://g.search.alicdn.com/img/bao/uploaded/i4/i3/3156867250/TB28bOKgilnpuFjSZFgXXbi7FXa_!!3156867250.jpg	ups电源蓄电池666666	
44	3	545392605255	680.00	680.00	4	2017/3/6 14:27:47	http://item.taobao.com/item.htm?id=545392605255	德国阳光蓄电池A412/20G5/12V20AH进口胶体埃克塞德工业集团电池	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2194924616/TB2ZSfSfUlnpuFjSZFjXXXTaVXa_!!2194924616.png	tb654362629	
45	3	534219725996	666.00	666.00	5	2017/3/4 17:27:33	http://item.taobao.com/item.htm?id=534219725996	进口德国阳光蓄电池A412/A512/A612全系列2V-12V 含报关单 包邮	http://g.search.alicdn.com/img/bao/uploaded/i4/i4/2887484063/TB2u4pWqVXXXXcsXpXXXXXXXXXX_!!2887484063.jpg	北京亚西亚网络能源	
46	3	545042222574	720.00	720.00	0	2017/3/6 17:05:05	http://item.taobao.com/item.htm?id=545042222574	德国阳光蓄电池A412/32G6原装进口蓄电池厂家直供	http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/1749866020/TB20Y4Fe90mpuFjSZPiXXbssVXa_!!1749866020.jpg	qq413973308	
47	3	545001852070	999.00	999.00	0	2017/3/6 17:29:33	http://item.taobao.com/item.htm?id=545001852070	德国阳光蓄电池 A412/65/12V65AH 直流屏专用 厂家直供质保三年	http://g.search1.alicdn.com/img/bao/uploaded/i4/i4/1749866020/TB2WsmMd88lpuFjSspaXXXJKpXa_!!1749866020.jpg	qq413973308	
48	3	521384137167	720.00	720.00	0	2017/3/6 10:14:23	http://item.taobao.com/item.htm?id=521384137167	德国阳光工业集团蓄电池A512/40G6纯胶体蓄电池	http://g.search1.alicdn.com/img/bao/uploaded/i4/i1/TB1NkZeGFXXXXciXXXXXXXXXXXX_!!0-item_pic.jpg	dianchi188	
49	3	545409791257	410.00	410.00	2	2017/3/6 09:49:18	http://item.taobao.com/item.htm?id=545409791257	德国阳光蓄电池 A412/20G5医疗设备 12V20AH A4 12胶体蓄电池	http://g.search.alicdn.com/img/bao/uploaded/i4/i1/3167402967/TB279HufNxmpuFjSZFNXXXrRXXa_!!3167402967.jpg	工业电源助手	
50	3	539757164251	2000.00	2000.00	0	2017/3/4 20:57:52	http://item.taobao.com/item.htm?id=539757164251	原厂正品 德国阳光蓄电池12V120AH 阳光A412/120A蓄电池 租赁	http://g.search1.alicdn.com/img/bao/uploaded/i4/i1/TB18d_7NVXXXXc4XXXXXXXXXXXX_!!0-item_pic.jpg	ups蓄电池批发零售aaa	
51	3	536199474828	1880.00	1880.00	0	2017/3/8 20:35:38	http://item.taobao.com/item.htm?id=536199474828	德国阳光蓄电池 A412/65 G6 12V65AH 原装进口 胶体 保三年 包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/T1BEd5Fp4mXXXXXXXX_!!0-item_pic.jpg	李美涛66	
52	3	529122613280	680.00	680.00	1	2017/3/6 17:54:05	http://item.taobao.com/item.htm?id=529122613280	德国(Sonnenschein)阳光蓄电池A512/25G5胶体电池12V20AH现货	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2133364198/TB2tU1kmXXXXXaYXpXXXXXXXXXX_!!2133364198.jpg	崔节磊123	
53	3	543395089974	2000.00	2000.00	0	2017/3/5 14:46:26	http://item.taobao.com/item.htm?id=543395089974	德国阳光蓄电池 A412/100A 德国阳光蓄电池12V100AH 胶体蓄电池	http://g.search.alicdn.com/img/bao/uploaded/i4/i4/3015262011/TB29eFya7qvpuFjSZFhXXaOgXXa_!!3015262011.jpg	北京中广亿达科技有限公司	
54	3	544184131064	2800.00	2800.00	2	2017/3/10 08:30:25	http://item.taobao.com/item.htm?id=544184131064	德国阳光蓄电池A412/100A阳光蓄电池12V100AH原装进口 质保三年	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/3031456231/TB2SE5GcbRkpuFjSspmXXc.9XXa_!!3031456231.jpeg	蓄电池代宁	
55	3	543302969870	1680.00	1680.00	2	2017/3/10 10:01:48	http://item.taobao.com/item.htm?id=543302969870	德国阳光蓄电池A412/32G6 12V32AH A412 32免维护蓄电池 全国包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/3031456231/TB2wL5OarRkpuFjSspmXXc.9XXa_!!3031456231.jpeg	蓄电池代宁	
56	3	41289890008	1600.00	1600.00	1	2017/3/5 20:17:32	http://item.taobao.com/item.htm?id=41289890008	德国阳光蓄电池12V100AH 正品 阳光蓄电池A412/100A UPS蓄电池	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/TB1f1cqGXXXXXXVXXXXXXXXXXXX_!!0-item_pic.jpg	倪彩红2013	
57	3	41290838240	1040.00	1040.00	1	2017/3/4 09:20:57	http://item.taobao.com/item.htm?id=41290838240	德国阳光蓄电池12V65AH 原装正品 阳光蓄电池A412/65G6免维护电池	http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/TB1sWW3FXXXXXbNbXXXXXXXXXXX_!!0-item_pic.jpg	倪彩红2013	
58	3	45660912079	1600.00	1600.00	2	2017/3/9 12:19:46	http://item.taobao.com/item.htm?id=45660912079	德国阳光蓄电池A412/100A 阳光12V100AH胶体免维护阀控式进口电池	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2532069286/TB2aDXKdQ5M.eBjSZFrXXXPgVXa_!!2532069286.png	晨晨为您服务	
59	3	45660944543	700.00	700.00	2	2017/3/9 12:19:46	http://item.taobao.com/item.htm?id=45660944543	德国阳光蓄电池A512/40A 阳光12V40AH胶体免维护阀控式进口蓄电池	http://g.search.alicdn.com/img/bao/uploaded/i4/i1/2532069286/TB2m9BLdMCN.eBjSZFoXXXj0FXa_!!2532069286.png	晨晨为您服务	
60	3	537957940824	800.00	800.00	1	2017/3/9 10:39:32	http://item.taobao.com/item.htm?id=537957940824	德国阳光蓄电池A512/40A阳光蓄电池12V40AH原装进口胶体电池包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2823525024/TB2k394Xqi5V1BjSszgXXbHLpXa_!!2823525024.jpg	振兴华强科技	
61	4	542564277189	2500.00	2500.00	1	2017/3/8 14:38:55	http://item.taobao.com/item.htm?id=542564277189	德国阳光蓄电池A412/180A阳光蓄电池12V180AH原装进口胶体保三年	http://g.search1.alicdn.com/img/bao/uploaded/i4/i1/2883491303/TB2qZ6pfhaK.eBjSZFAXXczFXXa_!!2883491303.jpg	诚信小铺欢迎您的到来	
62	4	545032741573	2880.00	2880.00	0	2017/3/6 17:03:19	http://item.taobao.com/item.htm?id=545032741573	德国阳光蓄电池12V180AH 阳光A412/180A胶体蓄电池厂家直购	http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/1749866020/TB2Mxc1eQqvpuFjSZFhXXaOgXXa_!!1749866020.jpg	qq413973308	
63	4	545000832654	1320.00	1320.00	0	2017/3/6 17:15:18	http://item.taobao.com/item.htm?id=545000832654	厂家直供UPS电源专用德国阳光铅酸免维护蓄电池A412/90	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/1749866020/TB2YWqLd9FjpuFjSspbXXXagVXa_!!1749866020.jpg	qq413973308	
64	4	544822628993	880.00	880.00	0	2017/3/6 12:47:52	http://item.taobao.com/item.htm?id=544822628993	德国阳光蓄电池 A412/50A 德国阳光 12V50AH 胶体蓄电池 特价包邮	http://g.search1.alicdn.com/img/bao/uploaded/i4/i3/2601414330/TB2dYMOdrtlpuFjSspfXXXLUpXa_!!2601414330.jpg	aaaaa96022	
65	4	536235421343	1280.00	1280.00	0	2017/3/8 20:41:44	http://item.taobao.com/item.htm?id=536235421343	德国(Sonnenschein)阳光蓄电池 A512/60A 胶体蓄电池12V60AH进口	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/TB1deE7IFXXXXbAXXXXXXXXXXXX_!!0-item_pic.jpg	李美涛66	
66	4	544882339283	1762.50	1762.50	0	2017/3/9 14:26:24	http://item.taobao.com/item.htm?id=544882339283	德国阳光蓄电池A602/280 阳光电池2V280AH 进口特价包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2601414330/TB2ARazeEhnpuFjSZFpXXcpuXXa_!!2601414330.png	aaaaa96022	
67	4	539755831725	2100.00	2100.00	0	2017/3/4 21:06:37	http://item.taobao.com/item.htm?id=539755831725	德国阳光蓄电池A4 12/150A 免维护胶体蓄电池12V150AH特价包邮哦	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/2987122339/TB2K5DtaIeK.eBjSszgXXczFpXa_!!2987122339.jpg	ups蓄电池批发零售aaa	
68	4	536236013567	415.00	415.00	0	2017/3/8 20:41:44	http://item.taobao.com/item.htm?id=536236013567	德国(Sonnenschein)阳光蓄电池A512/10S胶体蓄电池12V10AH进口	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/TB1I19pIFXXXXb3apXXXXXXXXXX_!!0-item_pic.jpg	李美涛66	
69	4	535983513241	3200.00	3200.00	0	2017/3/9 10:35:30	http://item.taobao.com/item.htm?id=535983513241	德国阳光蓄电池12V180AH  阳光蓄电池A412/180A 胶体免维护蓄	http://g.search1.alicdn.com/img/bao/uploaded/i4/i2/864014602/TB2acoce7qvpuFjSZFhXXaOgXXa_!!864014602.jpg	ups66889	
70	4	539758222103	3200.00	3200.00	0	2017/3/4 21:09:07	http://item.taobao.com/item.htm?id=539758222103	德国阳光蓄电池A412/180A 阳光12V180AH胶体蓄电池 原装正.	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/TB17YfQNVXXXXXwXVXXXXXXXXXX_!!0-item_pic.jpg	ups蓄电池批发零售aaa	
71	4	13007931207	3400.00	3400.00	0	2017/3/3 15:06:46	http://item.taobao.com/item.htm?id=13007931207	进口原装 德国阳光胶体蓄电池A412/100A（12V100AH）	http://g.search1.alicdn.com/img/bao/uploaded/i4/i2/TB1b5VMHVXXXXcPaXXXXXXXXXXX_!!0-item_pic.jpg	北京ups不间断电源	
72	4	543369168078	2600.00	2600.00	0	2017/3/5 15:08:43	http://item.taobao.com/item.htm?id=543369168078	德国(Sonnenschein)阳光蓄电池 A512/200A胶体蓄电池12V200AH进口	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/3015262011/TB2ElF.aZtnpuFjSZFvXXbcTpXa_!!3015262011.jpg	北京中广亿达科技有限公司	
73	4	536281983232	1180.00	1180.00	1	2017/3/4 11:51:00	http://item.taobao.com/item.htm?id=536281983232	德国阳光蓄电池A4 12/65G6胶体电池12V 65AH正品ups直流屏专用	http://g.search.alicdn.com/img/bao/uploaded/i4/i1/2950015688/TB2dsbdtFXXXXbCXXXXXXXXXXXX_!!2950015688.jpg	ups电源蓄电池供应	
74	4	528928317905	2650.00	2650.00	0	2017/3/7 09:53:11	http://item.taobao.com/item.htm?id=528928317905	德国阳光蓄电池 A412/100A 12V100AH 原装进口 胶体 保三年 包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/1842790339/TB2OH9tlVXXXXX8XXXXXXXXXXXX_!!1842790339.jpg	冷庄冷水湖	
75	4	529385308089	1600.00	1600.00	0	2017/3/7 17:22:32	http://item.taobao.com/item.htm?id=529385308089	原装德国阳光蓄电池 A412/100A 12V100AH A412 100F10阳光蓄电池	http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/1938712418/TB2v4.smpXXXXXVXXXXXXXXXXXX_!!1938712418.jpg	jiaxin19970701	
76	4	529434788430	790.00	790.00	0	2017/3/8 15:34:11	http://item.taobao.com/item.htm?id=529434788430	德国阳光蓄电池A512/40G6提供报关单和检测报告德国阳光12V40AH	http://g.search.alicdn.com/img/bao/uploaded/i4/i3/1938712418/TB21nAJmpXXXXcAXpXXXXXXXXXX_!!1938712418.jpg	jiaxin19970701	
77	4	528861799302	1420.00	1420.00	0	2017/3/6 15:35:10	http://item.taobao.com/item.htm?id=528861799302	德国(Sonnenschein)阳光蓄电池 A512/60G6 胶体蓄电池12V60AH进口	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/1842790339/TB2hbBTlVXXXXbjXpXXXXXXXXXX_!!1842790339.jpg	冷庄冷水湖	
78	4	524455288498	750.00	750.00	0	2017/3/6 10:01:00	http://item.taobao.com/item.htm?id=524455288498	原装进口德国阳光蓄电池Sonnenschein A412/20G5 12V20AH A4 12	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/TB1judUKFXXXXcFXpXXXXXXXXXX_!!0-item_pic.jpg	森雷特新能源科技	
